Ref_No	Local_Accession_No	Map_Reference	MapArea	MapLong	MapLat	Town_Village	Location	Title	Further_Information	Date_of_Image	Date_Period	Photographer	Artist	Engraver	Publisher	Acknowledged	Form_of_Acknowledgment	Language_single	Format_single	Publishers_single	License_single	Audience_single	Key_Terms	Keywords
NTGM003842	34162	SK5740		52.95435674	-1.153011124	Nottingham	Wollaton Street	Gaumont Cinema, Wollaton Street, 1972	The Gaumont Cinema was situated on the corner of Wollaton Street and Goldsmith Street, it was formerly the Hippodrome and later a nightclub. The County Hotel and Theatre Royal can be seen on the right.	1972	17_The_1970s	Roberts, George L				Yes	George L Roberts	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	cinema picture house film movies entertainment quoins rustication dome stone clock marquee lantern	Buildings_and_Structures Entertainment_and_Sports Natural_World_Landscape_and_Views Streetscene
NTGM003843	34161	SK5740		52.95435674	-1.153011124	Nottingham	Wollaton Street	Gaumont Cinema, Wollaton Street, 1972	The Gaumont Cinema was situated on the corner of Wollaton Street and Goldsmith Street, it was formerly the Hippodrome and later a nightclub.	1972	17_The_1970s	Roberts, George L				Yes	George L Roberts	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	cinema picture house film movies entertainment quoins rustication dome stone clock marquee lantern	Buildings_and_Structures Entertainment_and_Sports Natural_World_Landscape_and_Views Streetscene
NTGM003844	33372	SK5740		52.95435674	-1.153011124	Nottingham	South Sherwood Street	Empire Theatre, South Sherwood Street, 1969	The photograph shown is looking towards the junction with Parliament Street and Market Street.	1969	16_The_1960s	Roberts, George L				Yes	George L Roberts	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	corbels brick arch awning canopy pediment theatre arts performance gables entablature	Buildings_and_Structures Entertainment_and_Sports Natural_World_Landscape_and_Views Streetscene
NTGM003845	16416	SK5740		52.95435674	-1.153011124	Nottingham	South Sherwood Street	Empire Theatre, South Sherwood Street, 1959	Formerly known as the Empire Music hall, the photograph shows the entrance to the Empire Theatre adjacent to the Theatre Royal Gallery entrance.	1959	15_The_1950s	Roberts, George L				Yes	George L Roberts	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	brick arch awning canopy pediment theatre arts performance gables entablature rose window	Buildings_and_Structures Entertainment_and_Sports
NTGM003863	21951	SK5740		52.95435674	-1.153011124	Nottingham	Goldsmith Street	Playhouse, Goldsmith Street, 1963	A photograph taken at the time of the final production at this theatre.	July 1963	16_The_1960s	Roberts, George L				Yes	George L Roberts	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	playhouse theatre marquee entrance posters arch windows mullioned windows lintel engaged columns street furniture	Buildings_and_Structures Entertainment_and_Sports
NTGM003864	33928	SK5740		52.95435674	-1.153011124	Nottingham	Goldsmith Street	Playhouse, Goldsmith Street, 1963	 	1963	16_The_1960s	Roberts, George L				Yes	George L Roberts	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	playhouse theatre marquee entrance posters arch windows mullioned windows lintel engaged columns street furniture rose windows	Buildings_and_Structures Entertainment_and_Sports Natural_World_Landscape_and_Views Streetscene
NTGM003865	16405	SK5740		52.95435674	-1.153011124	Nottingham	Goldsmith Street	Playhouse, Goldsmith Street, 1961	The stage door can be seen on the left, on Talbot Street.	July 1961	16_The_1960s	Roberts, George L				Yes	George L Roberts	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	playhouse theatre marquee entrance posters arch windows mullioned windows lintel engaged columns street furniture rose windows	Buildings_and_Structures Entertainment_and_Sports Natural_World_Landscape_and_Views Streetscene
NTGM003866	13014	SK5740		52.95435674	-1.153011124	Nottingham	Goldsmith Street	Playhouse, Goldsmith Street, 1958	 	1958	15_The_1950s	Roberts, George L				Yes	George L Roberts	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	playhouse theatre marquee entrance posters arch windows mullioned windows lintel engaged columns street furniture rose windows	Buildings_and_Structures Entertainment_and_Sports Natural_World_Landscape_and_Views Streetscene
NTGM003874	34176	SK5740		52.95435674	-1.153011124	Nottingham	Sherwood Street (north)	Larkdale Day Nursery, Sherwood Street (north), 1972	 	1972	17_The_1970s	Roberts, George L				Yes	George L Roberts	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	canopy verandah veranda sash windows toys tricycles climbing frame nursery	Buildings_and_Structures Schools_Colleges_and_Universities
NTGM003889	33373	SK5740		52.95435674	-1.153011124	Nottingham	Theatre Square	Theatre Royal, Theatre Square, 1964	 	1964	16_The_1960s	Roberts, George L				Yes	George L Roberts	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	gallery balcony circle moulding boxes theatre stage proscenium arch house seats chairs decorative decoration pediment orchestra pit	Buildings_and_Structures Entertainment_and_Sports Leisure_and_Recreation Entertainments_and_Amusements
NTGM003890	16351	SK5740		52.95435674	-1.153011124	Nottingham	Theatre Square	Theatre Royal, Theatre Square, 1959	A photograph taken looking west towards Wollaton Street and Goldsmith Street.	December 1959	15_The_1950s	Roberts, George L				Yes	George L Roberts	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	theatre corinthian columns arch windows dome quoins street furniture venue balustrade corbels entablature	Buildings_and_Structures Entertainment_and_Sports Leisure_and_Recreation Entertainments_and_Amusements Natural_World_Landscape_and_Views Streetscene
NTGM003901	79708	SK5740		52.95435674	-1.153011124	Nottingham	Milton Street	Mechanics Cinema, Milton Street	This photograph shows the side of the cinema, on Burton Street, with the Victoria Station in the background.	c 1951	15_The_1950s	not known				Yes	Nottingham City Council	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	motor vehicle cars rusticated pediment entablature frieze station lner adverts advertisements engaged columns clock tower gables	Buildings_and_Structures Entertainment_and_Sports Buildings_and_Structures Transport
NTGM003902	36035	SK5740		52.95435674	-1.153011124	Nottingham	Boston Street	Sneinton House, Boston Street, 1938	The building shown is a municipal lodging house.	1938	13_The_1930s	not known				Yes	Nottingham City Council	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	gables brick built mullioned windows railings arch hostel bushes salvation army hostel	Buildings_and_Structures Welfare People_and_Society Welfare_and_Poverty
NTGM003903	24834	SK5740		52.95435674	-1.153011124	Nottingham	Boston Street	Sneinton House, Boston Street, 1932	The building shown is a municipal lodging house.	1932	13_The_1930s	not known				Yes	Nottingham City Council	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	gables brick built mullioned windows railings arch hostel bushes salvation army hostel	Buildings_and_Structures Welfare People_and_Society Welfare_and_Poverty
NTGM003904	87891	SK5740		52.95435674	-1.153011124	Nottingham	Boston Street	Sneinton House, Boston Street, c 1930	A photograph of the day room for men.	c 1930	13_The_1930s	not known				Yes	Nottingham City Council	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	chairs tables benched furniture tiled terrazzo gas fire hearth fireplace hatstand clock	Buildings_and_Structures Welfare People_and_Society Welfare_and_Poverty
NTGM003911	1077	SK5740		52.95435674	-1.153011124	Nottingham	Theatre Square	Theatre Royal, Theatre Square, 1944	The interior foyer to the dress circle.	1944	14_The_1940s	Spencer, W				Yes	Nottingham City Council	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	couch settle inlaid floor mosaic mirror doors banister wood velvet lighting lamps	Buildings_and_Structures Entertainment_and_Sports Leisure_and_Recreation Entertainments_and_Amusements
NTGM003912	1078	SK5740		52.95435674	-1.153011124	Nottingham	Theatre Square	Theatre Royal, Theatre Square, 1944	The landing at the top of the stairs to the dress circle.	1944	14_The_1940s	Spencer, W				Yes	Nottingham City Council	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	steps stairs banister finial newel curtains potted plant lamp lighting doorway	Buildings_and_Structures Entertainment_and_Sports Leisure_and_Recreation Entertainments_and_Amusements
NTGM003913	1076	SK5740		52.95435674	-1.153011124	Nottingham	Theatre Square	Theatre Royal, Theatre Square, 1941	A photograph of the Theatre Royal. Note the sign indicating the presence of an air raid shelter to the left of the photograph.	1944	14_The_1940s	Spencer, W				Yes	Nottingham City Council	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	corinthian columns arch windows signs entablature adverts advertisements sash windows gardens plants	Buildings_and_Structures Entertainment_and_Sports Leisure_and_Recreation Entertainments_and_Amusements
NTGM003914	30398	SK5740		52.95435674	-1.153011124	Nottingham	Theatre Square	Theatre Royal, Theatre Square, 1901	A view of Theatre Square.	1901	09_Victorian_(1837-1901)	not known				Yes	Nottingham City Council	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	corinthian columns arch windows signs entablature sash windows lighting horse-drawn vehicles carriages cabs cobbles	Buildings_and_Structures Entertainment_and_Sports Leisure_and_Recreation Entertainments_and_Amusements Transport_and_Communication Horse_Drawn_Vehicles
NTGM003915	77584	SK5740		52.95435674	-1.153011124	Nottingham	Theatre Square	Theatre Royal, Interior, 1901	An illustration of the theatre as it was soon after opening in 1865.	1865	09_Victorian_(1837-1901)		not known			Yes	Nottingham City Council	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	theatre stage proscenium arch seating theatre-goers audience boxes stage ceiling	Buildings_and_Structures Entertainment_and_Sports Leisure_and_Recreation Entertainments_and_Amusements
NTGM003918	93302	SK5740		52.95435674	-1.153011124	Nottingham	Theatre Square	Theatre Royal, Theatre Square, 1995	 	1995	19_The_1990s	Brown, Ian LRPS				Yes	Nottingham City Council	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	theatre corinthian columns stone arch windows mullioned signpost bench trees flag flagpole railings entertainment	Buildings_and_Structures Entertainment_and_Sports Leisure_and_Recreation Entertainments_and_Amusements
NTGM003919	93494	SK5740		52.95435674	-1.153011124	Nottingham	Boston Street	Sneinton House, Boston Street, 1995	Sneinton House is a Salvation Army home at the junction of Boston Street and Brook Street. This photograph is from Brook Street car park.	1995	19_The_1990s	Brown, Ian LRPS				Yes	Nottingham City Council	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	brick built car park sash windows modern cars van mini-bus charity salvation army hostel	Buildings_and_Structures Welfare
NTGM003920	93493	SK5740		52.95435674	-1.153011124	Nottingham	Boston Street	Sneinton House, Boston Street, 1995	Sneinton House is a Salvation Army home at the junction of Boston Street and Brook Street.	1995	19_The_1990s	Brown, Ian LRPS				Yes	Ian Brown LRPS	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	brick built car park sash windows modern cars van mini-bus charity salvation army hostel gatehouse street furniture	Buildings_and_Structures Welfare
NTGM003921	93479	SK5740		52.95435674	-1.153011124	Nottingham	Boston Street	Sneinton House, Boston Street, 1995	Sneinton House is a Salvation Army home at the junction of Boston Street and Brook Street.	1995	19_The_1990s	Brown, Ian LRPS				Yes	Ian Brown LRPS	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	brick built car park sash windows modern cars van mini-bus charity salvation army hostel lights trees	Buildings_and_Structures Welfare
NTGM003925	63545	SK5740		52.95435674	-1.153011124	Nottingham	South Sherwood Street	Royal Concert Hall, South Sherwood Street, 1982	Elton John (centre) officially opening the Royal Concert Hall	November 1982	18_The_1980s	Nottingham Evening Post Group Ltd				Yes	Copyright - Nottingham Evening Post	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	opening ceremony pop music elton john neon lights walkway formal dress theatre concert hall	Buildings_and_Structures Entertainment_and_Sports People_and_Society Personalities Events Ceremonies
NTGM003926	76886	SK5740		52.95435674	-1.153011124	Nottingham	South Sherwood Street	Royal Concert Hall, South Sherwood Street, 1982	 	1983	18_The_1980s	Nottingham Evening Post Group Ltd				Yes	Copyright - Nottingham Evening Post	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	theatre concert hall street night cars motor vehicles neon lights entrance	Buildings_and_Structures Entertainment_and_Sports
NTGM003934	94887-1	SK5740		52.95435674	-1.153011124	Nottingham	Parliament Street (Upper)	Elite Cinema, Parliament Street (Upper)	 	late 1980s-early 1990s	19_The_1990s	Sheldon, Alfred				Yes	A Sheldon	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	statuary decorative frieze mullioned windows decorative gables corbels arches cinema picture house	Buildings_and_Structures Entertainment_and_Sports Buildings_and_Structures Shops_Banks_and_Commercial
NTGM003935	94887-2	SK5740		52.95435674	-1.153011124	Nottingham	Parliament Street (Upper)	Elite Cinema, Parliament Street (Upper)	 	late 1980s-early 1990s	19_The_1990s	Sheldon, Alfred				Yes	A Sheldon	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	statuary decorative frieze mullioned windows decorative gables corbels arches cinema picture house	Buildings_and_Structures Entertainment_and_Sports Buildings_and_Structures Shops_Banks_and_Commercial
NTGM003937	94891	SK5740		52.95435674	-1.153011124	Nottingham,_St_Anns	St Ann's Well Road	Cavendish Cinema, St Ann's Well Road	The cinema was opened in 1938 and closed as a cinema in 1968.	late 1980s-early 1990s	19_The_1990s	Sheldon, Alfred				Yes	A Sheldon	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	brick built marquee railings street furniture cinema picture house	Buildings_and_Structures Entertainment_and_Sports Buildings_and_Structures Shops_Banks_and_Commercial
NTGM003942	95522	SK5740		52.95435674	-1.153011124	Nottingham	Goldsmith Street	Playhouse, Goldsmith Street, 2000	The photograph was taken when the building was being used as a bar and a restaurant.	May 2000	20_2000_Onwards	Kingscott, Judy				Yes	Judy Kingscott	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	stone painted corbels dome sign flowers plants doors mullioned windows arch windows rose windows street furniture pub public house bar	Buildings_and_Structures Entertainment_and_Sports Buildings_and_Structures Hotels_Inns_and_Public_Houses
NTGM003943	95525	SK5740		52.95435674	-1.153011124	Nottingham	South Sherwood Street	Royal Concert Hall, South Sherwood Street, 1998	This was official opened in 1982 by Elton John. It was biult on the site of the old Empire Music Hall	1998	19_The_1990s	Kingscott, Judy				Yes	Copyright - Judy Kingscott	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	glass cement concrete mullioned windows reflections cars motor vehicles columns pillars support	Buildings_and_Structures Entertainment_and_Sports
NTGM003945	91065-1	SK5740		52.95435674	-1.153011124	Nottingham	Broad Street	Broadway Media Centre, Broad Street, Lace Market, 1995	 	3 October 1995	19_The_1990s	Kingscott, Judy				Yes	Copyright - Judy Kingscott	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	cement concrete engaged columns balcony railings steps sign mullioned windows	Buildings_and_Structures Entertainment_and_Sports
NTGM003946	91065-2	SK5740		52.95435674	-1.153011124	Nottingham	Broad Street	Broadway Media Centre, Broad Street, Lace Market, 1995	 	3 October 1995	19_The_1990s	Kingscott, Judy				Yes	Copyright - Judy Kingscott	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	cement concrete engaged columns balcony railings steps sign mullioned windows	Buildings_and_Structures Entertainment_and_Sports
NTGM003950	89886	SK5740		52.95435674	-1.153011124	Nottingham	Theatre Square	Theatre Royal, Theatre Square, 1996	 	1996	19_The_1990s	Whitworth, J D				Yes	J D Whitworth	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	theatre corinthian columns stone arch windows mullioned signpost bench trees flag flagpole railings entertainment balustrade cars motor vehicles	Buildings_and_Structures Entertainment_and_Sports
NTGM003951	89890	SK5740		52.95435674	-1.153011124	Nottingham	South Sherwood Street	Royal Concert Hall, South Sherwood Street, 1996	The Royal Concert Hall photographed from Parliament Street. The Newton building of Nottingham Trent University is in the background, on Burton Street.	1996	19_The_1990s	Whitworth, J D				Yes	J D Whitworth	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	cement concrete glass walkways railings cars motor vehicles rusticated stone pediment mullioned windows	Buildings_and_Structures Entertainment_and_Sports
NTGM003952	89892	SK5740		52.95435674	-1.153011124	Nottingham	South Sherwood Street	Royal Concert Hall, South Sherwood Street, 1996	 	1996	19_The_1990s	Whitworth, J D				Yes	J D Whitworth	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	cement concrete glass walkways railings entrance posters reflections pillars columns	Buildings_and_Structures Entertainment_and_Sports
NTGM003953	75238	SK5740		52.95435674	-1.153011124	Nottingham,_St_Anns	Plantagenet Street	Working Man's Retreat, Plantaganet Street, St Ann's, 1987	A block of 6 almshouses on the south side of Plantagenet Street.	1987	18_The_1980s	Best, Stephen J				Yes	S J Best	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	datestone inscription brick stone lintel mullioned window 1852	Buildings_and_Structures Almshouses Buildings_and_Structures Welfare
NTGM003954	74316	SK5740		52.95435674	-1.153011124	Nottingham	Parliament Street (Upper)	Elite Cinema, Parliament Street (Upper), 1986	Detail of one of the cinema's statues.	1986	18_The_1980s	Best, Stephen J				Yes	S J Best	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	stone console statue carving mullioned window frieze niche	Buildings_and_Structures Entertainment_and_Sports
NTGM003955	74965	SK5740		52.95435674	-1.153011124	Nottingham	Parliament Street (Upper)	Elite Cinema, Parliament Street (Upper), 1986	Detail of statues on the Queen Street elevation.	1986	18_The_1980s	Best, Stephen J				Yes	S J Best	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	stone console statue carving frieze niche	Buildings_and_Structures Entertainment_and_Sports
NTGM003956	74187	SK5740		52.95435674	-1.153011124	Nottingham	Parliament Street (Upper)	Elite Cinema, Parliament Street (Upper), 1986	Detail of statues.	1986	18_The_1980s	Best, Stephen J				Yes	S J Best	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	stone console statue carving frieze niche pediment mullioned windows	Buildings_and_Structures Entertainment_and_Sports
NTGM003958	77585	SK5740		52.95435674	-1.153011124	Nottingham	Glasshouse Street	Empress Picture Palace, Glasshouse Street	The Empress Picture Palace was situated on the corner of Glasshouse Street and King Edward Street.	not known		not known				Yes	Nottingham City Library	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	cinema picture palace picture house movies arch balustrade posters stone pavement men	Buildings_and_Structures Entertainment_and_Sports
NTGM003960	83730	SK5740		52.95435674	-1.153011124	Nottingham	Theatre Square	Theatre Royal, Theatre Square, 1979	 	1979	17_The_1970s	Lloyd, Edgar				Yes	Edgar Lloyd	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	theatre corinthian columns stone arch windows mullioned signpost bench trees railings entertainment people men plants	Buildings_and_Structures Entertainment_and_Sports Natural_World_Landscape_and_Views Streetscene
NTGM003961	83730	SK5740		52.95435674	-1.153011124	Nottingham	Theatre Square	Theatre Royal, Theatre Square, 1979	 	1979	17_The_1970s	Lloyd, Edgar				Yes	Edgar Lloyd	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	theatre corinthian columns stone arch windows mullioned signpost bench trees railings entertainment people men balustrade flagpole	Buildings_and_Structures Entertainment_and_Sports Natural_World_Landscape_and_Views Streetscene
NTGM003985	21595	SK5740		52.95435674	-1.153011124	Nottingham	North Sherwood Street	Duke of St Albans, 28 North Sherwood Street, 1963	The 'Duke of St Albans' was Nottingham's smallest public house. It closed in April 1963.	1963	16_The_1960s	Roberts, George L				Yes	George L Roberts	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	pub public house inn mini brick mullioned windows barber lintels sash windows	Buildings_and_Structures Hotels_Inns_and_Public_Houses
NTGM003989	65111	SK5740		52.95435674	-1.153011124	Nottingham	Huntingdon Street	Gatsby's, Huntingdon Street, 1983	Gatsby's was formerly known as the Central Tavern. Convent Street is shown to the right of the photo	1983	18_The_1980s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	pub public house inn columns pillars mullioned windows entablature	Buildings_and_Structures Hotels_Inns_and_Public_Houses
NTGM003999	65112	SK5740		52.95435674	-1.153011124	Nottingham	Mansfield Road/Peel Street	Golden Fleece, Mansfield Road, 1983	 	1983	18_The_1980s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	pub public house inn porch mullioned windows curved corner balcony balconies street people pedestrians	Buildings_and_Structures Hotels_Inns_and_Public_Houses
NTGM004035	63891	SK5740		52.95435674	-1.153011124	Nottingham	South Sherwood Street	Langtry's public house, South Sherwood Street, 1982	Known as the Peach Tree since 1791, the name was changed to Langtry's in 1981 after the actress Lily Langtry.	April 1982	18_The_1980s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	pub public house inn cement rendered sash windows entablature street furniture lamp lighting quoins dormer windows	Buildings_and_Structures Hotels_Inns_and_Public_Houses
NTGM004036	63890	SK5740		52.95435674	-1.153011124	Nottingham	South Sherwood Street	Langtry's public house, South Sherwood Street, 1982	Known as the Peach Tree since 1791, the name was changed to Langtry's in 1981 after the actress Lily Langtry. This photograph depicts the inn sign.	April 1982	18_The_1980s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	pub public house inn painted painting actress portrait	Buildings_and_Structures Hotels_Inns_and_Public_Houses People_and_Society Portraits
NTGM004043	74677	SK5740		52.95435674	-1.153011124	Nottingham	Mansfield Road	Empire (The), Mansfield Road, 1985	The Empire was formerly known as The Roebuck Inn, 64 Mansfield Road.	December 1985	18_The_1980s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	pub public house inn arched windows painted entablature glass framework	Buildings_and_Structures Hotels_Inns_and_Public_Houses
NTGM004070	65114-1	SK5740		52.95435674	-1.153011124	Nottingham	Mansfield Road	'Fosters' (formerly The Criterion) public house	Situated opposite the Mansfield Road - Huntingdon Street Junction	July 1983	18_The_1980s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	pub inn georgian flags corbels terrace mullion windows door shops road tree	Buildings_and_Structures Hotels_Inns_and_Public_Houses Natural_World_Landscape_and_Views Streetscene
NTGM004071	65114-2	SK5740		52.95435674	-1.153011124	Nottingham	Mansfield Road	'Fosters' (formerly The Criterion) public house	Situated opposite the Mansfield Road - Huntingdon Street Junction	July 1983	18_The_1980s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	pub inn georgian flags corbels terrace mullion windows door shops road tree gable	Buildings_and_Structures Hotels_Inns_and_Public_Houses Natural_World_Landscape_and_Views Streetscene
NTGM004076	82001	SK5740		52.95435674	-1.153011124	Nottingham	Parliament Street	'The Fox Inn' public house - sign	The pub is now called 'Number 10'	1987	18_The_1980s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	pub inn wrought iron hanging sign painting fox field tiles home ales painted	Buildings_and_Structures Hotels_Inns_and_Public_Houses Leisure_and_Recreation Art_and_Sculpture
NTGM004080	65005	SK5740		52.95435674	-1.153011124	Nottingham	Mansfield Road - Frogmore Street	The Nags Head	Criminals were given their last drink here on their way to the gallows at the top of the hill. Frogmore Street is on the right.	1983	18_The_1980s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	pub inn exterior recreation leisure door pediment rendered quoins crime punishment street mullion windows	Buildings_and_Structures Hotels_Inns_and_Public_Houses Natural_World_Landscape_and_Views Streetscene
NTGM004086	90348	SK5740		52.95435674	-1.153011124	Nottingham	Huntingdon Street	Gatsby's, Huntingdon Street, 1995	The public house was previously known as the 'Central Tavern'.	1995	19_The_1990s	Brown, Ian LRPS				Yes	Ian Brown, LRPS	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	stone mullioned windows porch columns pillars scrollwork pub public house inn brick	Buildings_and_Structures Hotels_Inns_and_Public_Houses
NTGM004087	90348	SK5740		52.95435674	-1.153011124	Nottingham	Huntingdon Street	Gatsby's, Huntingdon Street, 1995	The public house was previously known as the 'Central Tavern'.	1995	19_The_1990s	Brown, Ian LRPS				Yes	Ian Brown, LRPS	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	stone mullioned windows porch columns pillars scrollwork pub public house inn brick railings street furniture	Buildings_and_Structures Hotels_Inns_and_Public_Houses
